ability|cognition,knowledge,power,quality|inability
downplay|accent,accentuate,background,emphasize,inform,minimize,punctuate,stress,understate|foreground
downriver|downstream|upstream,upriver
downstream|downriver|upstream,upriver
downward|down,downwards|upwardly,upward,upwards
downwards|down,downward|upwardly,upward,upwards
downwind|leeward,windward|upwind,leeward
dress|adorn,apparel,apply,arrange,attire,beautify,change,clip,clothe,clothes,clothing,coif,coiffure,convert,cook,crop,curry,decorate,dress,embellish,finish,formal,frock,garb,garment,garnish,grace,groom,habiliment,make,neaten,ornament,overdress,pare,plume,position,preen,prepare,prettify,primp,prune,raiment,ready,snip,treat,trim,turn,wear,wearable|undress
drinkable|beverage,drink,food,liquid,nutrient,potable|undrinkable
drinker|consumer,imbiber,juicer|nondrinker
drive|actuation,campaign,cause,coerce,control,conveyance,cover,cross,crusade,device,displace,drive,driveway,driving,effort,excavate,fight,force,hale,hollow,hunt,impel,intend,journey,labor,make,mean,mechanism,motor,move,movement,operate,parkway,power,pressure,propel,propulsion,push,repel,repulse,return,ride,road,route,squeeze,struggle,swing,take,throw,thrust,track,trait,transfer,travel,traverse,venture,work|attract
drop|alter,bead,bear,birth,cast,cease,change,cliff,curtain,dangle,decline,decrease,degenerate,deliver,deposit,depository,descend,descent,deteriorate,devolve,discharge,discontinue,dismiss,displace,drape,drapery,dribble,driblet,drip,drop-off,expend,express,fall,fell,fire,flatten,formation,gravitation,hang,have,lose,mantle,miss,modify,move,neglect,omit,overlook,pall,pearl,pour,quit,remove,repository,sack,shed,sink,spend,sphere,stop,swing,take,terminate,throw,unload,utter,verbalize,wane,withdraw,worsen|recuperate,sharpen
drop-off|alteration,change,cliff,declension,decrease,drop,falloff,formation,modification,slack,slump|increase
drowsiness|sleepiness,somnolence|wakefulness
drunk|bacchanal,bacchanalian,beery,besotted,bibulous,boozy,cockeyed,crocked,drinker,drunkard,drunken,excited,high,imbiber,inebriate,inebriated,intoxicated,juicer,loaded,mellow,orgiastic,pie-eyed,pissed,plastered,potty,rummy,sloshed,smashed,sottish,soused,stiff,stoned,tight,tipsy,wino|sober
drunkenness|alcoholism,drink,inebriation,insobriety,intemperance,intoxication,tipsiness|soberness
dryness|condition,dispassion,moderation,sobriety,status,temperance|wetness
dubiety|doubt,doubtfulness,dubiousness,incertitude,uncertainty|certainty
dubiousness|doubt,doubtfulness,dubiety,incertitude,question,uncertainty|certainty
dull|alter,arid,benumb,blunt,boring,bovine,change,cloudy,colorless,damp,dampen,dense,desensitize,desiccate,drab,dreary,dumb,flat,gray,grey,heavy,ho-hum,humdrum,inactive,insensitive,irksome,lackluster,leaden,lusterless,matt,matte,matted,modify,monotonous,muffle,muffled,mute,muted,numb,obtuse,pall,slow,sluggish,soft,soften,spiritless,stupid,subdued,tedious,tiresome,unpolished,unsaturated,weaken,wearisome|lively,sharpen,sharp,bright
dullness|bluntness,callosity,callousness,conformation,contour,form,hardness,obtuseness,shape,stupidity|sharpness
early|aboriginal,advance,archaic,beforehand,betimes,crude,embryonic,first,former,future,immature,inchoate,incipient,other,past,precocious,premature,previous,primal,primeval,primitive,primordial,rude,untimely,young|middle,late
earthly|earthbound,mortal,mundane,profane,temporal,terrestrial,worldly|heavenly
ease|affluence,allay,alleviate,assist,assuage,comfort,console,easiness,facilitate,help,inactivity,informality,move,naturalness,palliate,quality,relaxation,relief,relieve,repose,rest,richness,simpleness,simplicity,solace,soothe,still,travel|difficulty
easiness|behavior,conduct,doings,ease,quality,quietness,quietude,relaxation,simpleness,simplicity,tranquility,tranquillity|difficulty
east|eastbound,easterly,eastern,easternmost,eastward|west
easterly|east,eastern,wind|westerly
eastern|east,easterly,northeastern,orient,oriental,southeastern|western
easy|abundant,available,casual,comfortable,comfy,cushy,easily,easygoing,effortless,elementary,gentle,gradual,impressible,leisurely,lenient,light,loose,painless,pleasing,promiscuous,prosperous,relaxed,rich,simple,slow,slowly,sluttish,smooth,soft,tardily,unchaste,undemanding,unhurried,wanton,well-fixed,well-heeled,well-off,well-to-do|quickly,difficult,uneasy
eatable|comestible,digestible,edible,food,nonpoisonous,nontoxic,nutrient,pabulum,palatable,tender,toothsome,victual,victuals|inedible
effluence|flow,outflow|influx,inflow
egress|beginning,deed,effort,emerge,emergence,exploit,feat,issue,reappearance|immersion,ingress
emotional|affected,agitated,bathetic,cathartic,drippy,effusive,emotive,excited,feeling,funky,gushing,gushy,hokey,little,low-down,lyric,lyrical,maudlin,mawkish,mind-blowing,moody,moving,mushy,passionate,schmaltzy,sentimental,sloppy,slushy,soppy,soulful,soupy,touched,warm|unemotional,cerebral
empirical|existential,experimental,verifiable|theoretical
employ|apply,employment,engage,hire,state,utilize|unemployment,fire
employable|worker|unemployable
employee|worker|employer
employer|leader|employee
employment|action,activity,business,employ,engagement,exercise,line,occupation,state,usage,utilization,work|unemployment
emptiness|condition,hunger,hungriness,ineptitude,space,status,vacancy,vacuum,vanity,void|fullness
empty|abandon,alter,bare,barren,blank,change,clean,container,destitute,devoid,discharge,drained,eliminate,empty-handed,evacuate,excrete,glassy,glazed,hollow,hungry,innocent,leave,lifeless,meaningless,modify,pass,remove,take,turn,vacant,vacate,vacuous,void,white,withdraw|full,fill
enable|alter,change,modify|disable
enchant|appeal,attract,beguile,bewitch,captivate,capture,catch,charm,delight,enamor,enrapture,enthral,enthrall,entrance,fascinate,glamour,jinx,please,ravish,trance,transport,witch|disenchant
enchanted|bewitched,charmed,delighted,fascinated,spellbound,transfixed|disenchanted
encipher|cipher,code,encode,inscribe,write|decode
enclosed|closed,confined,fogbound,included,involved|unenclosed
encode|cipher,code,encipher,inscribe,write|decode
endemic|disease,flora,indigenous,native,plant|epidemic
ending|close,closing,conclusion,finish,happening,morpheme,occurrence,point,section,subdivision,termination|beginning,middle
endogenous|angiosperm|exogenous
endure|abide,allow,bear,brave,brook,continue,countenance,defy,digest,endure,experience,hold,last,live,measure,permit,persist,prevail,stand,stomach,suffer,support,survive,tolerate,undergo,wear,weather,withstand|enjoy
enemy|adversary,antagonist,challenger,competition,competitor,contender,force,opponent,opposition,people,resister,rival|friend
energetic|active,brisk,driving,dynamic,enterprising,industrious,lively,merry,physical,rattling,snappy,spanking,spirited,strenuous,tireless,unflagging,vigorous,zippy|lethargic
energize|affect,alter,arouse,brace,change,excite,modify,stimulate|sedate
enforce|apply,compel,implement,impose,obligate,oblige|exempt
engage|absorb,acquire,affiance,betroth,charter,contend,displace,employ,engage,engross,enlist,fight,hire,interest,lease,lock,mesh,move,occupy,operate,plight,procure,prosecute,pursue,rent,secure,struggle,take,touch,wage|fire,disengage
enjoy|apply,bask,delight,employ,experience,like,love,relish,revel,savor,undergo,utilize|suffer
enjoyably|agreeably,pleasantly|disagreeably
enlarge|clarify,dilate,elaborate,elucidate,expand,expatiate,expound,grow,increase,lucubrate,magnify|reduce,contract
enlargement|blowup,discourse,discussion,elaboration,expansion,exposure,increase,photo,photograph,state,step-up,treatment|contraction
enlightening|edifying,illuminating,informative|unedifying
enlist|draft,engage,enrol,enroll,enter,inscribe,procure,recruit,secure|discharge
entangle|distort,involve,mire,snarl,tangle,twine,twist|unsnarl,disentangle
epidemic|eruption,irruption,outbreak,pandemic,pestiferous,pestilent,pestilential|endemic
equally|evenly|unequally,unevenly
equity|assets,fairness,interest,justice,justness,stake|inequity,unfairness
esteem|admiration,attitude,believe,conceive,consider,honor,laurels,liking,prize,reckon,regard,repute,respect,think,value,view|disesteem,disrespect
evenly|equally|unequally,unevenly
evenness|equality,parity,regularity|variability,unevenness
evil|atrocious,badness,black,dark,demonic,despicable,devilish,diabolic,diabolical,evil-minded,evildoing,evilness,fiendish,grievous,harmful,heinous,hellish,immoral,immorality,infernal,iniquity,injurious,malefic,maleficent,malevolent,malign,monstrous,offensive,pestiferous,satanic,sinister,slimy,ugly,unholy,unrighteous,unworthy,vicious,vile,wicked,wickedness,worthless,wretched,wrong|goodness,good
evilness|evil,immorality|goodness,good
exactly|incisively,just,precisely|inexactly,imprecisely
exaggerate|amplify,magnify,make,misinform,mislead,overdo,overdraw,overstate|understate
exasperate|aggravate,alter,anger,change,exacerbate,incense,infuriate,modify,worsen|better
except|demur,eliminate,exclude,object,omit|include
excite|affect,agitate,alter,arouse,change,charge,disturb,elicit,energize,evoke,excite,fire,impact,kindle,modify,provoke,raise,rouse,sensitize,shake,stimulate,stir,touch,trouble,upset|calm,stifle
excited|aflutter,agitated,agog,crazy,delirious,drunk,emotional,fevered,frantic,intoxicated,nervous,overexcited,reactive,thrilled,unrestrained,wild|unexcited
exciting|breathless,breathtaking,electric,electrifying,exhilarating,galvanic,glamorous,glamourous,heady,interesting,intoxicating,provocative,sexy,stimulating,thrilling,tingling,titillating|unexciting
exclude|debar,disallow,displace,eject,eliminate,except,expel,forbid,interdict,keep,lack,miss,move,omit,prevent,prohibit,proscribe,shut,veto|include,admit
exclusion|banishment,censure,ejection,elision,exception,expulsion,omission,proscription,rejection,riddance,situation|inclusion
exclusive|account,alone,concentrated,inner,inside,only,privileged,report,scoop,selective,single,sole,story,undivided|inclusive
exculpate|acquit,clear,discharge,exonerate,judge,label,pronounce|convict
excusable|forgivable,justifiable,pardonable,venial|inexcusable
excusably|pardonably|unpardonably,unforgivably,inexcusably
exempt|absolve,duty-free,excuse,exempt,free,immune,justify,nontaxable,privileged,relieve,tax-exempt,tax-free|nonexempt,taxable,enforce
exhale|breathe,emanate,emit,expire,respire|inhale
exile|absentee,alien,banishment,deport,deportation,deportee,expatriate,expatriation,expel,foreigner,proscription|repatriate
existence|being,cosmos,creation,macrocosm,state,universe,world|nonexistence
expedience|advantage,expediency,opportunism,self-seeking,selfishness,vantage|inexpediency
expediency|advantage,expedience,vantage|inexpediency
expire|breathe,choke,conk,croak,decease,discontinue,exhale,exit,pass,perish,respire,turn|inhale
explicable|explainable,soluble|inexplicable
explicit|definite,definitive,denotative,express,graphic,hardcore,literal,open,overt,unambiguous,unequivocal|implicit
explicitly|expressly|implicitly
explode|articulate,burst,condemn,confute,destroy,detonate,disprove,enunciate,increase,irrupt,pronounce,react,respond,ruin,turn|implode
explosive|chemical,sudden,unstable,volatile|nonexplosive
export|commodity,distribute,exportation,good,merchandise,spread,trade|import
exportation|commerce,commodity,export,good,mercantilism|import
expose|abandon,affect,blackguard,break,debunk,desert,desolate,disclose,discover,display,divulge,endanger,exhibit,exposure,forsake,impact,impart,peril,queer,reveal,ridicule,roast,scupper,show,subject,tell,touch,uncover,unveil,unwrap|cover
expound|clarify,dilate,elaborate,elucidate,enlarge,expand,expatiate,expound,lucubrate|contract
express|acquire,carry,communicate,convey,denote,display,evince,explicit,extract,fast,impart,limited,mail,post,refer,reveal,send,shipping,show,state,transport,utter,verbalize|local
extant|existent,existing,living|extinct
extensive|blanket,broad,extended,large,wide|intensive
exterior|out-of-door,outdoor,outside,part,region,surface|interior,inside
external|extraneous,extrinsic,feature,foreign,outer,outside,outward|internal
externally|outwardly|internally
extinct|dead,nonexistent|active,extant
extinguish|annihilate,decimate,eliminate,eradicate,kill,quench,terminate|ignite
extroversion|sociability|introversion
extrusive|volcanic|intrusive
eyed|sharp-eyed|eyeless
eyeless|blind,sightless,unseeing|eyed
face|appearance,approach,aspect,boldness,brass,cheek,confront,countenance,cover,disclose,encounter,expose,expression,font,fount,front,grimace,individual,line,look,meet,mortal,nerve,person,play,position,present,side,somebody,someone,soul,status,surface,turn,type,typeface,visage|avoid,back
fail|betray,bomb,break,change,decline,disappoint,evaluate,flunk,judge,miscarry,neglect,worsen|pass,succeed,manage
failing|failure,flunk,imperfection,unsuccessful,weakness|passing
failure|bankruptcy,destiny,disorder,fate,fortune,happening,insolvency,loser,luck,nonstarter,occurrence,omission,portion,skip,unfortunate,upset|success,achiever
fair|antitrust,assemblage,average,bazaar,beautiful,blond,blonde,carnival,clean,clear,comely,evenhandedly,exhibition,expo,exposition,fair,fair-minded,fairly,feminine,gathering,impartial,indifferent,join,just,legible,mediocre,middling,moderate,ordinary,reasonable,sale,sensible,show,sightly,sporting,sporty,unbiased|unfair,unfairly,partial,foul
fairly|clean,evenhandedly,fair,middling,moderately,passably,reasonably,somewhat|unfairly,immoderately
fairness|beauty,blondness,candor,comeliness,complexion,equity,impartiality,justice,justness,loveliness,paleness|inequity,unfairness
faithful|accurate,close,congregation,constant,fast,firm,fold,following,loyal,true,trustworthy,trusty|unfaithful
faithfully|dependably,reliably|unreliably,unfaithfully
fall|accrue,autumn,begin,break,capitulation,change,choke,come,commence,conk,croak,crumble,dawdle,decease,declension,declination,decline,declivity,decrease,descend,descent,devolve,diminish,disappear,downfall,drop,dusk,egress,emerge,event,exit,expire,fail,fall,flop,flow,founder,gloaming,gravitation,hang,happen,hour,incline,issue,lessen,light,lose,loss,miscarry,move,nightfall,occur,pass,perish,pitch,precipitate,quit,recede,resign,return,season,separate,settle,shine,side,slip,slope,spill,start,strike,surrender,transgress,travel,trespass,trip,triumph,tumble,turn,twilight,vanish,victory,yield|rise,ascend
fame|celebrity,honor,laurels,renown,reputation,repute|infamy
familiar|acquainted,associate,beaten,close,common,companion,comrade,conversant,everyday,fellow,friend,informed,intimate,known,retainer,servant,spirit,usual,well-known|unfamiliar,strange
famish|choke,conk,croak,decease,deprive,exit,expire,hunger,hurt,pass,perish,starve,suffer|feed
fancy|baroque,busy,castellated,crackle,crenelate,crenelated,damask,desire,dressy,elaborate,embattled,envisage,envision,fanciful,fantastic,fantasy,figure,flamboyant,florid,fondness,fussy,illusion,image,imagination,imagine,lacy,liking,luxuriant,partiality,phantasy,picture,project,puff,rhetorical,rococo,vision,visualize,want|plain
farsighted|eagle-eyed,farseeing,foresighted,long,provident,telescopic|nearsighted
fast|abstain,abstinence,allegretto,allegro,barred,blistering,debauched,degenerate,desist,dissipated,dissolute,express,faithful,firm,fixed,fleet,flying,high-speed,hurried,immediate,immobile,immoral,impervious,instant,libertine,loyal,meteoric,presto,profligate,prompt,quick,rapid,red-hot,refrain,riotous,smart,smooth,speeding,speedy,straightaway,sudden,swift,tight,vivace,windy,winged|slow
fasten|alter,attach,change,modify,secure,tighten|unfasten
fastness|defense,fixity,fixture,immovability,pace,rate,speed,stronghold,swiftness|looseness
father|ancestor,antecedent,ascendant,ascendent,beget,beginner,chief,create,engender,forefather,founder,generate,head,leader,make,mastermind,mother,originator,parent,priest,root,sire,theologian,title|mother
favorable|affirmative,approving,convenient,following,friendly,golden,good,indulgent,lucky,pleasing,propitious,prosperous|unfavorable
fear|anxiety,care,concern,dread,emotion,esteem,fearfulness,fright,prize,regret,respect,revere,reverence,value,venerate,veneration,worry|fearlessness
fearful|afraid,alarming,awful,caitiff,chicken,cowardly,craven,dastard,dastardly,dire,direful,dread,dreaded,dreadful,faint,fainthearted,fearsome,frightening,frightful,funky,horrendous,horrific,ignoble,lily-livered,poltroon,recreant,terrible,timid,timorous,unmanly,yellow|brave
fearfulness|cowardice,cowardliness,emotion,fear,fright|fearlessness
fearless|audacious,bold,brave,courageous,dauntless,intrepid,unafraid,unblinking,unflinching|afraid
fearlessly|dauntlessly,intrepidly|fearfully
fearlessness|braveness,bravery,courage,feeling|fear,fearfulness
featherless|unfledged|feathered
feature|article,attribute,boast,dimension,feature,film,flick,have,lineament,merchandise,movie,picture,product,property,sport,ware|lack
fecundity|creativeness,creativity,fertility,fruitfulness,quality|infertility
federal|agent,authorities,government,national,northern,regime|unitary
feed|advance,boost,cater,consume,course,enclose,encourage,enrich,exploit,feast,fertilize,flow,food,furnish,further,give,have,inclose,ingest,insert,introduce,move,nutrient,prey,promote,provender,provide,regale,render,supply,take,treat,work|starve
felicitous|fortunate,happy,well-turned|infelicitous
female|animal,beast,brute,creature,distaff,fauna,female,feminine,individual,mortal,person,pistillate,somebody,someone,soul|androgynous,male
feminine|distaff,fair,female,feminine,gender,maidenly,matronly,unstressed,womanlike,womanly|neuter,masculine
fidelity|accuracy,faithfulness,quality,truth|infidelity
figurative|analogical,extended,metaphoric,metaphorical,poetic,rhetorical,tropical|literal
figure|amount,anatomy,apprehend,body,build,calculate,chassis,cipher,compass,comprehend,compute,decoration,design,digit,effect,enter,envisage,envision,estimate,evaluate,fancy,flesh,forecast,form,frame,grasp,illustration,image,imagine,impression,integer,judge,maneuver,model,name,number,ornament,pattern,perception,personage,physique,picture,play,project,reason,reckon,savvy,shape,simulation,trope,visualize|ground
filial|daughterly,relation,relative|parental
fill|alter,bushel,cater,change,consume,doctor,employ,engage,enough,filling,fulfil,fulfill,have,hire,ingest,material,meet,mend,modify,occupy,provide,repair,replete,restore,sate,satiate,satisfy,stuff,sufficiency,supply,take,turn,work|empty
find|acquire,ascertain,attain,brainstorm,breakthrough,bump,chance,change,comprehend,conceive,conclude,deed,detect,determine,discover,discovery,effort,encounter,experience,exploit,feat,feel,gain,gestate,grow,happen,hear,incur,insight,judge,label,learn,make,maturate,mature,notice,observe,obtain,perceive,pronounce,reach,reason,receive,recover,regain,retrieve,rule,sight,undergo,witness|lose
fine|alright,amercement,book,close,delicately,elegant,exquisitely,finely,floury,hunky-dory,mulct,nongranular,okay,penalty,powdered,powdery,precise,pure,satisfactory,small,smooth,superfine,thin,ticket,tight|coarse
finely|delicately,exquisitely,fine|coarsely
finish|cease,close,closing,coat,coating,complete,completion,conclusion,culmination,cultivation,culture,destination,downfall,ending,finale,finis,flawlessness,goal,happening,last,move,occurrence,perfection,polish,refinement,ruin,ruination,stop,surface,taste,terminate,windup|begin,beginning,start
finished|complete,done,dressed,fattening,over,polished,smooth,through|unfinished
finite|exhaustible,impermanent,limited,mortal|infinite
fire|ardor,arouse,attack,bake,blast,burn,burning,combustion,create,criticism,destroy,discharge,dismiss,dispel,element,elicit,evoke,fervency,fervor,fireplace,flack,flak,flame,flaming,fuel,furnish,happening,hearth,kindle,make,occurrence,onrush,onset,onslaught,passion,provide,provoke,raise,remove,render,ruin,sack,shoot,supply,terminate,trial,tribulation,visitation|hire
first|archetypal,archetypical,basic,beginning,best,commencement,early,eldest,firstborn,firstly,foremost,forward,freshman,front,gear,inaugural,initial,initiative,initiatory,introductory,kickoff,maiden,offset,opening,ordinal,original,outset,point,position,premier,premiere,primary,prime,prototypical,rank,start,world-class|middle,last,intermediate
fitly|befittingly,fittingly,suitably|unsuitably
fittingly|befittingly,fitly,suitably|unsuitably
fixity|fastness,fixture,immovability,immutability|mutability
flat|apartment,bland,categorical,compressed,directly,dull,even,field,fixed,flatbed,flatcar,flavorless,horizontal,housing,inactive,insipid,level,lodging,matt,matte,matted,monotone,monotonous,plain,plane,prostrate,regressive,scene,scenery,straight,tasteless,thin,unexciting,unqualified,vapid|natural,sharp,indirectly
flatten|alter,change,deform,drop,form,modify,shape|sharpen
flatter|blandish,praise|disparage
flattering|adulatory,becoming,ingratiating|unflattering
flawlessness|perfection,state|imperfection
fleece|cheat,chisel,cloth,coat,fabric,hook,leather,material,overcharge,pluck,plume,shave,shear,sheepskin,soak,surcharge,textile,trim,wool|undercharge
flex|bend,contract,deform,flash,flaunt,move,shrink,swank,turn,twist|straighten,unbend
flexible|adaptable,bendable,compromising,conciliatory,elastic,limber,negotiable,pliable,pliant,supple,yielding|inflexible
float|artefact,artifact,blow,convert,display,drift,drink,essay,examine,interval,launch,move,presentation,prove,smooth,stock,swim,test,transport,travel,value|sink
flora|accumulation,aggregation,assemblage,being,botany,collection,organism,plant,vegetation|fauna
flunk|bomb,fail,failing,failure|passing,pass
focus|absorption,accent,adapt,adjust,align,center,cerebrate,clarity,clearness,cogitate,concentrate,conform,correct,direction,distinctness,emphasis,engrossment,immersion,limpidity,lucidity,lucidness,point,pore,rivet,sharpen,sharpness,stress,think|blur
fogginess|atmosphere,blurriness,fuzziness,murk,murkiness,opacity,opaqueness,softness|sharpness,distinctness
forbid|command,compel,disallow,foreclose,forestall,interdict,preclude,prevent,prohibit,proscribe,require,veto|allow,permit
foreground|aspect,highlight,panorama,prospect,scene,spotlight,view,vista,window|background
forgiving|exculpatory,kind,tolerant|unforgiving
forgo|abandon,antedate,forego,forfeit,precede,predate,relinquish,waive|claim,postdate
formal|ball,black-tie,buckram,ceremonial,ceremonious,conventional,courtly,dance,dignified,dress,formal,gown,literary,logical,nominal,official,perfunctory,positive,rhetorical,schematic,starchy,stately,stiff,titular|informal
formalism|doctrine,pattern,philosophy,practice|imitation
formality|abidance,ceremonial,ceremony,compliance,conformation,conformity,manner,observance|informality
formalize|adjudge,authorize,clear,declare,hold,pass,validate|invalidate
formally|officially|informally
former|early,erstwhile,first,late,onetime,other,past,previous,quondam,sometime|latter
fortuitously|fortunately,luckily|unluckily
fortunately|fortuitously,luckily|unluckily
forward|ahead,assuming,assumptive,bold,brash,bumptious,cheeky,first,fore,forth,forwards,fresh,frontward,frontwards,headfirst,headlong,impertinent,impudent,nervy,onward,onwards,overbold,position,presumptuous,progressive,sassy,saucy,second,send,ship,smart,transport,wise|backward,back
four-footed|quadruped,quadrupedal|biped,bipedal
free|absolve,autonomous,available,aweigh,clear,detached,discharge,disengage,dislodge,emancipated,escaped,exempt,footloose,forgive,free,freeborn,give,gratis,gratuitous,hand,independent,inexact,issue,justify,liberal,liberate,liberated,loose,pass,people,reach,release,relieve,relinquish,remove,resign,sovereign,spare,supply,take,unblock,unbound,uncommitted,unconfined,unfreeze,unhampered,unloose,unloosen,unoccupied,unpaid,unrestrained,unrestricted,withdraw|freeze,block
freeze|alter,anesthetize,behave,block,break,change,chilling,freezing,frost,halt,immobilize,interrupt,limitation,modify,pause,restriction,solidify,suffer,suspend,turn,withhold|unblock,unfreeze
frequent|common,haunt,patronize,predominant,prevailing,regular,shop,sponsor,steady,support,visit|boycott
frequently|often,oftentimes,ofttimes|rarely,infrequently
friendly|affable,amiable,amicable,chummy,comradely,congenial,cordial,cozy,favorable,genial,gracious,hospitable,informal,intimate,neighborly,sociable,social,soldiery,troops,warm|hostile
fright|emotion,excite,fear,fearfulness,frighten,scare,shake,stimulate,stir|fearlessness
frigidity|chilliness,cold,coldness,coolness,frigidness,iciness,temperature|hotness
frigidness|chilliness,cold,coldness,coolness,frigidity,iciness,temperature|hotness
frivolity|bagatelle,buffoonery,craziness,fluff,folly,foolery,frippery,indulgence,lunacy,prank,tomfoolery,trait,trifle,trivia,triviality|seriousness
frivolous|dizzy,empty-headed,flighty,flippant,giddy,idle,light,light-minded,lightheaded,silly,superficial,trivial|serious
front|advance,advanced,anterior,appearance,area,arena,battlefront,beguiler,breast,cheat,cheater,confront,deceiver,domain,face,field,figurehead,first,fore,foremost,forepart,frontal,head-on,line,look,movement,orbit,place,position,presence,proximity,side,slicker,sphere,trickster|back,rear
frontward|forward,forwards,frontwards|backward
frontwards|forward,forwards,frontward|backward
frozen|cold,fixed,frigid,frostbitten,frosty,glacial,icebound,quick-frozen,rooted,sleety,stock-still,unchangeable,wintry|unfrozen
fruitful|bountiful,breeding,fertile,generative,plentiful,procreative,productive,profitable,prolific,reproductive,rich|unfruitful
fruitfully|productively,profitably|unprofitably,fruitlessly
fruitlessly|unprofitably|profitably,fruitfully,productively
full|afloat,alter,ample,awash,beat,booming,brimful,broad,change,chock-full,chockablock,complete,congested,engorged,entire,fraught,fully,good,heavy,high,increase,instinct,laden,loaded,modify,orotund,overfull,plangent,pregnant,replete,rich,riddled,rotund,round,rumbling,sonorous,sounding,stentorian,total,untasted,untouched,whole,wide|empty,wane,thin
fullness|bigness,completeness,condition,largeness,mellowness,property,richness,status|emptiness
full-time|regular|part-time
future|coming,commodity,early,forthcoming,futurity,good,hereafter,incoming,later,next,prospective,rising,subsequent,succeeding,tense,time,ulterior,upcoming|past,present
fuzziness|blurriness,fogginess,opacity,opaqueness,softness|sharpness,distinctness
gaseous|foamy,frothy,gassy,vaporous|solid,liquid
gathered|collected,concentrated|uncollected
general|all-purpose,broad,chief,command,common,cosmopolitan,ecumenical,fact,generic,gross,head,imprecise,national,overall,pandemic,systemic,universal,unspecific,widespread,worldwide|particular,specific
generic|general,merchandise,product,vino,ware,wine|varietal
give|accept,accord,administer,afford,allot,allow,apply,approximate,break,cater,cerebrate,change,cogitate,collapse,commit,communicate,compensate,consecrate,consent,contribute,countenance,create,deal,dedicate,devote,direct,dispense,distribute,drink,elasticity,emit,employ,establish,estimate,evince,execute,express,feed,founder,free,furnish,gauge,generate,gift,give,grant,guess,hand,happen,have,hold,impart,impose,indemnify,inflict,judge,lead,leave,make,move,occur,offer,open,pass,perform,permit,pledge,present,produce,proffer,provide,reach,recompense,release,relinquish,render,repair,resign,return,sacrifice,salute,show,snap,spring,springiness,state,stretch,subject,submit,supply,tell,think,throw,toast,transfer,utilize,utter,visit,wassail,yield|take
given|acknowledged,assumption,disposed,inclined,minded,precondition,presumption,supposition|taken
gladden|rejoice|sadden
glorious|beautiful,blessed,bright,brilliant,celebrated,divine,empyrean,illustrious,impressive,incandescent,inspired,known,lustrous,magnificent,proud,redoubtable,respected,resplendent,splendid,storied,sublime|inglorious
gluttonous|greedy,hoggish,indulgent,piggish,piggy,porcine,rapacious,ravening,ravenous,swinish,voracious,wolfish|abstemious
good|acceptable,adept,advantage,advantageous,ample,angelic,angelical,artefact,artifact,bang-up,beatific,beneficial,best,better,bully,close,commodity,complete,dandy,dear,dependable,effective,estimable,expert,favorable,fortunate,fresh,full,genuine,good,goodness,goody-goody,great,groovy,healthful,healthy,honorable,intellectual,just,keen,moral,morality,near,neat,nice,nifty,obedient,operative,opportune,peachy,pleasing,practiced,proficient,quality,redemptive,reputable,respectable,right,righteous,ripe,safe,sainted,saintlike,saintly,salutary,satisfactory,saving,secure,serious,skilful,skilled,skillful,smashing,solid,sound,soundly,superb,swell,thoroughly,unspoiled,upright,upstanding,vantage,virtuous,well,well-behaved,white,worthy|evilness,evil,badness
goodness|good,morality,quality|badness,evilness,evil
gracefully|graciously|ungracefully,ungraciously
gracelessly|ungracefully,ungraciously,woodenly|gracefully,graciously
graciously|gracefully|ungracefully,ungraciously
graciousness|benignity,courtesy,good,goodness|malignancy,malignity
gravity|attraction,earnestness,feeling,graveness,gravitation,seriousness,sincerity,soberness,sobriety,solemnity,somberness|levity
green|chromatic,color,common,commons,discolor,greenish,greenness,greens,gullible,immature,naif,naive,parcel,park,party,river,sick,site,tract,unripe,unripened,vegetable,veggie|ripe
greenness|cornucopia,green,immaturity,profuseness,profusion,richness,verdure|ripeness
grime|alter,begrime,bemire,change,dirt,dirtiness,dirty,filth,grease,grunge,modify,soil,stain,uncleanness|clean
ground|anchor,aspect,attain,background,base,basis,confine,connect,connecter,connection,connective,connector,earth,establish,fasten,footing,found,foundation,gain,hold,instruct,land,learn,link,make,material,object,paint,panorama,perception,place,pose,position,prime,primer,priming,prospect,reach,reason,restrain,scene,secure,soil,stuff,surface,teach,throw,undercoat,view,vista|figure
grownup|adult,full-grown,grown,individual,mature,mortal,person,somebody,someone,soul|juvenile
growth|beginning,botany,development,emergence,evolution,flora,illness,increase,increment,malady,maturation,object,ontogeny,outgrowth,process,sickness,vegetation|decrease
haploid|being,organism|diploid
hard|alcoholic,ambitious,arduous,awkward,backbreaking,baffling,calculating,calculative,catchy,challenging,concentrated,conniving,delicate,demanding,difficult,embarrassing,erect,firm,firmly,fractious,granitic,grueling,gruelling,hard,hard-boiled,heavily,heavy,herculean,hornlike,horny,indulgent,insensitive,intemperate,knockout,knotty,laborious,merciless,nasty,petrified,problematic,punishing,rocky,rough,rugged,scheming,serious,severe,severely,shrewd,solid,stale,steely,sticky,stony,strong,tall,thorny,ticklish,tight,toilsome,touchy,tough,tricky,troublesome,trying,tumid,unenviable,unmerciful,unvoiced,unyielding,velar,vexed,voiceless,woody|voiced,soft,lightly,easy
hardball|attitude,baseball|softball
harden|accustom,change,habituate,inure,modify,season,temper,toughen|soften
hardhearted|flinty,granitic,heartless,obdurate,stony,unfeeling|softhearted
hardihood|boldness,daring,fearlessness,hardiness|timidity
